Date,Open,High,Low,Close,Adj Close,Volume
2015-05-26,1091.130005,1091.130005,1072.329956,1078.930054,963.969055,2059530
2015-05-27,1080.000000,1097.270020,1072.829956,1090.270020,974.100952,1575588
2015-05-28,1091.400024,1093.900024,1070.000000,1084.500000,968.945496,2633245
2015-05-29,1087.000000,1113.170044,1083.800049,1102.969971,985.447571,4191568
2015-06-01,1116.000000,1139.329956,1095.329956,1137.030029,1015.878479,5386807
2015-06-02,1140.670044,1145.199951,1111.329956,1115.699951,996.820984,4373604
2015-06-03,1116.670044,1125.030029,1096.000000,1102.430054,984.965149,3209997
2015-06-04,1105.329956,1120.000000,1097.030029,1108.300049,990.209717,1967170
2015-06-05,1106.670044,1136.000000,1105.829956,1122.400024,1002.807251,2404830
2015-06-08,1122.469971,1137.329956,1114.069946,1119.170044,999.921509,2129532
2015-06-09,1117.300049,1123.869995,1104.000000,1111.270020,992.863342,1416730
2015-06-10,1114.000000,1145.270020,1113.329956,1137.369995,1016.182251,2389308
2015-06-11,1143.270020,1149.630005,1113.500000,1117.430054,998.366943,2981295
2015-06-12,1116.400024,1122.130005,1100.000000,1104.969971,987.234497,1835109
2015-06-15,1110.130005,1129.599976,1101.329956,1112.270020,993.756653,1700772
2015-06-16,1113.329956,1123.329956,1103.900024,1118.270020,999.117310,2043630
2015-06-17,1124.000000,1148.329956,1117.329956,1140.569946,1019.041382,3984108
2015-06-18,1143.329956,1153.000000,1139.170044,1144.770020,1022.793762,2842159
2015-06-19,1150.000000,1161.400024,1138.170044,1144.069946,1022.168213,2126232
2015-06-22,1150.000000,1159.329956,1144.369995,1155.000000,1031.933716,1613481
2015-06-23,1160.670044,1181.329956,1158.329956,1177.699951,1052.214966,2350728
2015-06-24,1178.670044,1183.130005,1163.329956,1168.829956,1044.290161,1816593
2015-06-25,1160.069946,1211.329956,1160.069946,1206.500000,1077.946289,4201746
2015-06-26,1202.400024,1202.670044,1183.329956,1187.130005,1060.640137,1818054
2015-06-29,1164.670044,1196.670044,1146.000000,1193.699951,1066.510132,3110302
2015-06-30,1190.400024,1205.930054,1178.670044,1188.530029,1061.891113,3076677
2015-07-01,1188.630005,1212.670044,1188.630005,1207.800049,1079.107788,2471292
2015-07-02,1208.000000,1212.000000,1194.670044,1200.229980,1072.344360,1335757
2015-07-03,1200.000000,1216.670044,1195.000000,1204.869995,1076.489990,1830951
2015-07-06,1183.369995,1214.329956,1183.329956,1210.699951,1081.698608,2029512
2015-07-07,1211.300049,1216.000000,1196.800049,1207.569946,1078.902344,1728982
2015-07-08,1193.329956,1209.800049,1180.000000,1204.300049,1075.980835,2385891
2015-07-09,1210.170044,1234.000000,1210.170044,1232.599976,1101.265259,2888308
2015-07-10,1233.329956,1253.329956,1233.030029,1250.930054,1117.642334,2696910
2015-07-13,1250.930054,1253.329956,1229.329956,1238.469971,1106.509766,2160397
2015-07-14,1239.800049,1247.969971,1234.069946,1238.369995,1106.420654,1669578
2015-07-15,1243.329956,1253.329956,1241.630005,1246.270020,1113.478882,1757511
2015-07-16,1246.670044,1251.329956,1238.000000,1245.369995,1112.674683,2124406
2015-07-17,1247.270020,1258.670044,1242.699951,1247.729980,1114.783203,2513529
2015-07-20,1248.670044,1253.270020,1233.329956,1244.869995,1112.228027,1654725
2015-07-21,1246.599976,1255.329956,1225.400024,1229.969971,1098.915527,1305582
2015-07-22,1229.069946,1245.329956,1220.699951,1236.300049,1104.571289,1643224
2015-07-23,1240.000000,1243.030029,1215.329956,1220.699951,1090.633301,2011395
2015-07-24,1223.329956,1224.630005,1198.030029,1201.569946,1073.541504,1986279
2015-07-27,1198.069946,1198.670044,1158.569946,1162.229980,1038.393311,3556780
2015-07-28,1166.670044,1181.329956,1162.430054,1172.630005,1047.685303,1856446
2015-07-29,1177.869995,1198.969971,1166.699951,1193.530029,1066.358276,1687711
2015-07-30,1203.329956,1206.670044,1178.969971,1182.500000,1056.503540,2621203
2015-07-31,1189.670044,1210.569946,1177.329956,1194.170044,1066.930298,2882673
2015-08-03,1140.030029,1189.329956,1136.030029,1186.270020,1059.871948,4953312
2015-08-04,1186.670044,1196.530029,1172.670044,1183.170044,1057.102173,2105218
2015-08-05,1183.170044,1194.599976,1179.400024,1186.400024,1059.988159,1552152
2015-08-06,1184.729980,1224.530029,1183.329956,1220.500000,1090.454590,2809791
2015-08-07,1220.000000,1229.329956,1210.729980,1222.300049,1092.062744,2368350
2015-08-10,1221.030029,1229.469971,1204.069946,1213.829956,1084.495361,2166975
2015-08-11,1214.800049,1216.599976,1188.000000,1200.770020,1072.827026,1658853
2015-08-12,1195.030029,1195.130005,1168.000000,1175.000000,1049.802734,2478813
2015-08-13,1175.000000,1195.969971,1165.329956,1173.430054,1048.399902,3626170
2015-08-14,1185.829956,1203.170044,1166.699951,1199.670044,1071.844238,1955958
2015-08-17,1195.270020,1200.000000,1177.030029,1186.900024,1060.434814,1508725
2015-08-18,1195.469971,1209.969971,1188.729980,1200.099976,1072.228271,2073873
2015-08-19,1199.930054,1213.329956,1190.670044,1209.800049,1080.894775,1626091
2015-08-20,1196.670044,1212.670044,1176.000000,1187.900024,1061.328247,2032938
2015-08-21,1170.000000,1170.000000,1150.000000,1160.000000,1036.401123,3087904
2015-08-24,1132.000000,1132.000000,1070.000000,1087.699951,971.804504,4809892
2015-08-25,1099.969971,1110.329956,1050.000000,1083.099976,967.694702,5436565
2015-08-26,1085.270020,1095.000000,1056.400024,1061.469971,948.369324,3418867
2015-08-27,1086.670044,1092.000000,1060.069946,1080.030029,964.951965,6486766
2015-08-28,1093.270020,1103.329956,1070.130005,1077.630005,962.807434,3557331
2015-08-31,1078.000000,1086.670044,1066.000000,1068.599976,969.356934,2546173
2015-09-01,1053.329956,1058.000000,1025.670044,1038.599976,956.691528,4791088
2015-09-02,1056.000000,1056.000000,1013.299988,1018.429993,938.112122,4657150
2015-09-03,1028.199951,1048.000000,1025.069946,1045.869995,963.388062,3510199
2015-09-04,1039.270020,1043.130005,1013.330017,1022.570007,941.925598,3262708
2015-09-07,1026.369995,1034.000000,1002.669983,1006.330017,926.966370,1831632
2015-09-08,1010.000000,1046.000000,993.333008,1043.000000,960.744385,2772253
